Location,Community Name,Builder,City,Street Address,Zip Code,"Latitude, Longitude",Home Type(s),Website,Price (Low),Price (High),Square Footage (Min),Square Footage (Max)
21,Cachet at the Wigwam,Cachet Homes,Litchfield Park,14200 W. Village Pkwy,85340,"33.496754, -112.365618","Single Family, Attached; Multi-Family; Single Family, Detached",http://cachethomes.net/communities/cachet-at-the-wigwam,"$257,900","$384,900",1522,2895
38,Glenwood and Overton at Verrado,AV Homes,Buckeye,20640 W. Park Meadows Dr.,85396,"33.470706,-112.5054167","Single Family, Detached",http://www.avhomesinc.com/communities/overton-verrado/,241900,362900,1582,3602
23,Cadiz at Sedella,Meritage Homes,Goodyear,4152 N. 182nd Ln,85395,"33.494644, -112.452129","Single Family, Detached",https://m.meritagehomes.com/search/phoenix-az/cadiz-at-sedella/#.WLMQgne-KgQ,"$269,990","$406,990",2099,4762
2,Marley Park,Bellago Homes,Surprise,14759 W Alexandria Way,85379,"33.6061089,-112.3799227","Single Family, Detached",http://bellagohomes.com/portfolio-item/marley-park/,217990,269990,1447,2224
24,Mollina at Sedella,Meritage Homes,Goodyear,4152 N. 182nd Ln,85395,"33.494644, -112.452130","Single Family, Detached",https://m.meritagehomes.com/search/phoenix-az/mollina-at-sedella/#.WLMQfne-KgQ,"$250,990","$326,990",2099,3175
3,Queen Creek Station,Fulton Homes,Queen Creek,Ellsworth and Queen Creek Rd.,85142,"33.274686,-111.6684963","Single Family, Detached",http://www.fultonhomes.com/our-communities/queen-creek-station,255900,435900,1594,4204
25,Almeria at Sedella,Meritage Homes,Goodyear,4152 N. 182nd Ln,85395,"33.494644, -112.452131","Single Family, Detached",https://m.meritagehomes.com/search/phoenix-az/almeria-at-sedella/#.WLMQhne-KgQ,"$351,990","$466,990",2787,5317
4,Blackstone,Toll Brothers,Peoria,30636 North 117th Drive,85383,"33.7571556,-112.3159903","Single Family, Detached",https://www.tollbrothers.com/luxury-homes-for-sale/Arizona/Toll-Brothers-at-Blackstone,464995,559995,2412,3832
1,Cascina at Verrado,K Hovnanian Homes,Buckeye,20539 W Briarwood Dr.,85396,"33.477002,-112.50154","Single Family, Detached",http://www.khov.com/find-new-homes/arizona/buckeye/85396/k-hovnanian-homes/cascina-at-verrado,236990,251990,1863,2234
2,Affinity at Verrado,K Hovnanian Homes,Buckeye,20638-20708 W McDowell Rd.,85396,"33.46623,-112.509775","Single Family, Detached",http://www.khov.com/find-new-homes/arizona/buckeye/85396/k-hovnanian-homes/affinity-at-verrado,TBD,TBD,TBD,TBD
6,Morada,Porchlight Homes,Mesa,E McKellips and N. Sossaman,85207,"33.451514, -111.667221","Single Family, Detached",http://porchlighthomes.com/communities/morada/,"$397,900","$449,900",2760,3713
7,Mesquite Trails,Towne,Surprise,16572 North 181st Avenue,85388,"33.6350148,-112.4514233","Single Family, Detached",http://www.homesbytowne.com/states/arizona/mesquite_trails.html,"$216,900","$271,900",1560,3064
3,Aspire at Sienna Hills,K Hovnanian Homes,Buckeye,W Berkeley Rd,85396,"33.468875,-112.516892","Single Family, Detached",http://www.khov.com/find-new-homes/arizona/buckeye/85396/k-hovnanian-homes/aspire-at-sienna-hills,204990,239990,1395,2244
4,Victory at Verrado,Maracay Homes,Buckeye,20766 E. Pasadena Ave.,85396,"33.5091, -112.5077","Single Family, Detached",https://www.maracayhomes.com/new-homes/phoenix/victory-verrado/,357000,392000,2284,2685
5,Verrado Palisades,Maracay Homes,Buckeye,2260 N. Park Street,85396,"33.4720, -112.5023","Single Family, Detached",https://www.maracayhomes.com/new-homes/phoenix/verrado-palisades/,300500,373500,2370,4154
6,Tartesso,D.R. Horton,Buckeye,3706 N. 298th Avenue,85396,"33.4889, -112.6925","Single Family, Detached",http://www.drhorton.com/Arizona/Phoenix/Buckeye/Express-Tartesso,149990,208990,1454,2535
7,Miller Park,D.R. Horton,Buckeye,25171 W Burgess Lane; 25123 W Burgess Lane,85326,"33.3886, -112.5998","Single Family, Detached",http://www.drhorton.com/Arizona/Phoenix/Buckeye/Express-Miller-Park,153990,177490,1304,1916
8,Sonoran Vista,D.R. Horton,Buckeye,5071 S. 237 Drive,85326,"33.4049973,-112.5633786","Single Family, Detached",http://www.drhorton.com/Arizona/Phoenix/Buckeye/Express-Sonoran-Vista,177990,217990,1566,2229
9,Blue Hills,D.R. Horton,Buckeye,Baseline and Miller Rd.,85326,"33.3780622,-112.5929558","Single Family, Detached",http://www.drhorton.com/Arizona/Phoenix/Buckeye/Express-Blue-Hills,177990,224990,1566,2629
10,Watson Estates,D.R. Horton,Buckeye,2441 S 235th Drive,85326,"33.424432,-112.5590577","Single Family, Detached",http://www.drhorton.com/Arizona/Phoenix/Buckeye/Watson-Estates,186990,229990,1566,2229
11,Tartesso 50's (55+),D.R. Horton,Buckeye,30222 W Columbus Ave,85396,"33.488749,-112.6958974","Single Family, Detached",http://www.drhorton.com/Arizona/Phoenix/Buckeye/Tartesso-50s,188990,211990,2094,2684
12,Blue Horizons - The Cottages,Cal Atlantic Homes,Buckeye,19746 West Lincoln Street,85326,"33.4423486,-112.4840249","Single Family, Detached",http://www.calatlantichomes.com/find-your-new-home/17-phoenix/8072-blue-horizons-the-cottages.html,179900,216900,1609,2519
13,Blue Horizons - The Meadows,Cal Atlantic Homes,Buckeye,547 South 197th Avenue,85326,"33.4436994,-112.484825","Single Family, Detached",http://www.calatlantichomes.com/find-your-new-home/17-phoenix/7716-blue-horizons-the-meadows.html,232990,271990,2068,3067
14,Blue Horizons - The Villages,Cal Atlantic Homes,Buckeye,19769 West Lincoln Street,85326,"33.4423486,-112.4840249","Single Family, Detached",http://www.calatlantichomes.com/find-your-new-home/17-phoenix/7717-blue-horizons-the-villages.html,189900,229900,1665,2690
15,Victory at Verrado (55+),Cal Atlantic Homes,Buckeye,20788 West Pasadena Avenue,85396,"33.509029,-112.5099687","Single Family, Detached",http://www.calatlantichomes.com/find-your-new-home/17-phoenix/7719-victory-at-verrado.html,262900,284900,1542,1870
16,Crest at Blue Horizons,Lennar,Buckeye,458 S. 197th Dr.,85326,"33.4439875,-112.4852105","Single Family, Detached",https://www.lennar.com/new-homes/arizona/phoenix/buckeye/crest-at-blue-horizons,161990,196990,1395,2364
5,Mulberry,Blandford Homes,Mesa,East Neville and S. Vegas,85209,"33°22'01.6""N 111°36'22.6""W","Single Family, Detached",http://mulberryneighborhood.com,,,,
14,Tranquility at Montecito in Estrella,William Ryan Homes,Goodyear,18361 W. Sapium Way,85338,"33.3092904,-112.4476728","Single Family, Detached",http://www.williamryanhomes.com/tranquility-at-montecito-in-estrella-floorplans,"$314,990","$354,990",2602,3216
36,Harmony at Verrado,Pinnacle West Homes,Buckeye,20686 W. Legend Trail,85396,"33.4740971,-112.5064328","Single Family, Detached",http://pinnaclewesthomes.com/Harmony-Floor-Plans.html,244900,284900,2000,3150
37,Ascend at Verrado,Pinnacle West Homes,Buckeye,20686 W. Legend Trail,85396,"33.4740971,-112.5064328","Single Family, Detached",http://pinnaclewesthomes.com/Verrado-Floor-Plans.html,204900,249900,1875,2515
22,The Cove at Palm Valley North,Mattamy Homes,Litchfield Park,14590 W. Pasadena Ave,85340,"33.509322,-112.374744","Single Family, Attached",http://mattamyhomes.com/phoenix/communities/litchfield-park-the-cove-at-palm-valley-north.aspx,"$239,990","$271,990",1600,2016
26,Las Brisas,Taylor Morrison Homes,Goodyear,3033 S. 185th Dr.,83558,"33.4193597,-112.4601446","Single Family, Detached",http://www.taylormorrison.com/new-homes/arizona/phoenix/goodyear/las-brisas-discovery-and-encore-collections-phase-2c1-community,"$198,990","$272,990",1637,3543
27,Palm Valley North,Mattamy Homes,Litchfield Park,5054 N. 146th Dr.,85340,"33.5087001,-112.3757109","Single Family, Detached",http://mattamyhomes.com/phoenix/communities/litchfield-park-palm-valley-north.aspx,"$297,490","$399,490",2379,4447
9,Foundation at The Meadows,Woodside Homes,Peoria,10124 W. Cashman Drive,85383,"33.6885036,-112.2825821","Single Family, Detached",,,,,
10,Horizons at Meridian,William Lyon Homes,Queen Creek,22708 South 226th Place,85142,"33.2421535,-111.5968654","Single Family, Detached",https://lyonhomes.com/arizona/horizons-at-meridian,306990,376990,3145,4716
11,Carmel Estates,Mandalay Homes,Glendale,19114 North 54th Lane,85308,"33.6599245, -112.1795058","Single Family, Detached",http://www.mandalayhomes.com/glendale-az/carmel-estates/,329890,399890,1958,3351
14,Lone Tree,Del Webb,Chandler,6080 S. Pinaleno Pl,85249,"33.2158679, -111.7769124","Single Family, Detached",https://www.delwebb.com/homes/arizona/phoenix/chandler/lone-tree-209509,282990,369990,1715,2509
1,Marley Park,Ashton Woods,Surprise,12615 N. 144th Avenue,85379,,"Single Family, Detached",https://www.ashtonwoods.com/phoenix/marley-park,233990,391990,1663,5054
16,Innovation Park at Eastmark - Classics Series,Meritage Homes,Mesa,9735 E. Telemetry Dr.,85212,,"Single Family, Detached",https://www.meritagehomes.com/search/phoenix-az/innovation-park/#.WLCa3He-LUo,"$243,990","$303,990",1802,2764
